policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_122.lp;4939;5939;90.3;0.0;optimal;489;1;91.94125428982079;91.92452360900006;262.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_123.lp;593;889;28.7;0.0;optimal;202;0;29.169902423396707;29.16951668799993;236.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_124.lp;704;1025;32.82;0.0;optimal;206;1;33.40686656534672;33.40641663599945;200.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_125.lp;7;101;6.82;0.0;optimal;20;0;6.903828632086515;6.9037409610000395;167.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_126.lp;3162;3811;67.74;0.0;optimal;330;0;68.86791841685772;68.86660552699959;196.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_127.lp;181;409;24.25;0.0;optimal;150;0;24.595671797171235;24.59531023300042;209.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_128.lp;1581;2212;50.4;0.0;optimal;339;0;51.16573373042047;51.16339940800026;211.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_129.lp;3679;4758;86.12;0.0;optimal;483;0;87.45529628917575;87.43264612300027;187.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_130.lp;331;562;19.02;0.0;optimal;168;0;19.363128572702408;19.362652730999798;167.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_131.lp;133;310;15.21;0.0;optimal;117;1;15.399123966693878;15.398766068999976;197.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_132.lp;1089;1484;36.47;0.0;optimal;233;0;36.978177631273866;36.97364878799999;202.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_133.lp;35;148;13.38;0.0;optimal;66;0;13.55996498838067;13.55925562900029;166.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_134.lp;606;870;23.16;0.0;optimal;189;1;23.52471448481083;23.523705472000074;187.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_135.lp;366;623;23.93;0.0;optimal;162;1;24.26446065492928;24.26372034399992;207.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_136.lp;183;441;24.31;0.0;optimal;172;0;24.565737154334784;24.565442061000795;218.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_137.lp;1179;1558;34.23;0.0;optimal;283;0;34.880414793267846;34.87941836200025;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_138.lp;977;1321;32.67;0.0;optimal;227;0;33.29442596808076;33.293028240999774;179.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_139.lp;6553;7544;134.35;0.0;optimal;543;0;136.4740682952106;136.46856023799955;225.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_140.lp;3291;4751;82.56;0.0;optimal;352;0;84.00120954588056;83.98822959399968;197.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_141.lp;92;269;21.05;0.0;optimal;97;1;21.369593754410744;21.369416264999927;222.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_142.lp;1590;2235;40.65;0.0;optimal;316;0;41.3699718080461;41.36924262899993;199.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_143.lp;605;945;38.54;0.0;optimal;239;0;39.08036983944476;39.08005451000008;234.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_144.lp;7597;9493;138.94;0.0;optimal;557;0;141.04634540341794;141.0445283680001;253.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_145.lp;279;503;22.68;0.0;optimal;129;0;22.97840792313218;22.97789608000039;176.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_146.lp;74;250;18.2;0.0;optimal;105;0;18.45995095744729;18.450638013999196;215.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_147.lp;186;408;18.73;0.0;optimal;139;1;19.01538847386837;19.014285479001046;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_148.lp;1429;1900;42.06;0.0;optimal;326;0;42.75475072301924;42.75302023600125;216.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_149.lp;399;717;24.12;0.0;optimal;219;0;24.467786610126495;24.466966079000485;229.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_150.lp;3765;4431;80.26;0.0;optimal;367;0;81.5253128092736;81.52452751199962;237.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_151.lp;265;493;23.81;0.0;optimal;155;0;24.14667310193181;24.14607137299936;175.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_152.lp;65;234;12.5;0.0;optimal;89;0;12.67713750526309;12.676945629000329;183.0;
