policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_97.lp,1,2,0.04,0.0,optimal,0,0,0.03928065113723278,0.03928353499999915,19.000000000000004
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_98.lp,1,2,0.04,0.0,optimal,0,0,0.041995927691459656,0.04199914899999868,32.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_99.lp,1,39,0.39,0.0,optimal,1,1,0.4102954715490341,0.4102978549999996,30.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_100.lp,1,3,0.03,0.0,optimal,0,0,0.0307362861931324,0.03073854900000228,9.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_101.lp,1,1,0.01,0.0,optimal,0,0,0.01705298013985157,0.017055088999999413,39.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_102.lp,1,1,0.01,0.0,optimal,0,0,0.01708906888961792,0.01709157099999814,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_103.lp,1,1,0.02,0.0,optimal,0,0,0.01578552834689617,0.015787452000001423,10.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_104.lp,1,3,0.05,0.0,optimal,0,0,0.051654400303959846,0.051618516000001335,14.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_105.lp,1,3,0.03,0.0,optimal,0,0,0.03319426439702511,0.033197419000000394,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_106.lp,1,8,0.1,0.0,optimal,0,0,0.10634548403322697,0.10635386699999927,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_107.lp,1,15,0.09,0.0,optimal,0,0,0.09720427729189396,0.09720643700000053,29.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_108.lp,1,1,0.02,0.0,optimal,0,0,0.01481059193611145,0.014812420999998466,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_109.lp,1,1,0.01,0.0,optimal,0,0,0.015102995559573174,0.015104183000001825,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_110.lp,1,67,0.65,0.0,optimal,2,1,0.6683809235692024,0.6683754660000005,61.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_111.lp,1,2,0.01,0.0,optimal,0,0,0.01619684137403965,0.016199548999999536,15.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_112.lp,1,5,0.07,0.0,optimal,0,0,0.06538408249616623,0.06538704999999823,29.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_113.lp,1,4,0.05,0.0,optimal,0,0,0.05279935337603092,0.0528022419999985,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_114.lp,1,3,0.06,0.0,optimal,0,0,0.05976720713078976,0.05976954300000159,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_115.lp,1,5,0.07,0.0,optimal,0,0,0.07831674441695213,0.07832202100000174,14.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_116.lp,1,21,0.22,0.0,optimal,0,0,0.23621862940490246,0.23621229400000132,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_117.lp,1,2,0.01,0.0,optimal,0,0,0.015281155705451965,0.01528278400000005,21.0
